Razón Social,Margen EBIT,Carga financiera,Margen neto,CxC,CxP,Solvencia,Apalancamiento,En Reorganización
COMERCIALIZADORA PIE DE LA POPA S.A.,0.007163681,0.002033,0.003511,0.142323,0.048631,0.0279,1.359598,0
COMERCIALIZADORA PUNTO INDUSTRIAL Y AGRIPECUARIO SAS,0.05391621,0.019182,0.022635,0.136311,0.164292,0.708351,0.699072,0
COMERCIALIZADORA SUOER AGROMARES SAS,0.047132194,0,0.047132,0.309876,0.064367,0.046674,0.120827,0
COMERCIALIZADORA TEXACO DEL SUR SAS,0.061433714,0.023039,0.036905,0.18114,0.146141,1.284121,2.774858,0
COMERCIALIZADORA ZOE SAS,0.074227846,0,0.074228,0.354704,0.16344,1.157202,1.365073,0
COMPAÑI AGRICOLA Y GANADERA LA BONANZA SAS,0.095363107,0,0.04443,0.051485,0.200269,0,0.544989,0
COMPAÑIA  DE VIGILANCIA LOS LIBERTADORES,0.035279571,0,0.03528,0.197529,0.001422,0,0.749798,0
COMPAÑIA COMERCIAL UNIVERSAL SAS,0.102798131,0.042482,0.033126,0.087129,0.14723,0.711581,0.709901,0
COMPAÑIA DISTRIBUIDORA DE COMBUSTRIBLES DE OCCIDENTE SAS,0.007141364,0,0.005866,0.01598,0.032983,1.49969,0.22418,0
COMPAÑIA INTERAMERICANA DE SEGURIDAD Y SERVICIOS LTDA,0.120716908,0.008192,0.098764,0.162195,0.050386,0,3.965,0
CONCRETOS DE LA COSTA SAS,0.079506518,0.005442,0.047348,0.226328,0.083153,0.240508,0.345793,0
CONSORCIO INTERNACIONAL DE SOLUCIONES INTEGRALES SAS BIC,0.045416971,0.015857,0.01896,0.066135,0.040536,0.377244,0.671996,0
CONSTRUCCIONES AR & S SAS,0.027866667,0,0.016784,0.206514,0.332854,0.082399,2.054193,0
CONSTRUCCIONES TORRES DILUGANO SAS,-0.017039205,0,-0.051076,0.277681,0.32136,0,0.796284,0
CONSTRUCCIONES Y VIAS E.U,0.13158966,0.027824,0.070311,0.000018,0.003956,1.033009,1.64744,0
CONSTRUCTORA SARA LIMITADA,-0.02920997,0,-0.042719,0.110542,0.312084,0,0.58401,0
CONTACTO SOLUTIONS SAS,0.034396805,0,0.028024,0.297107,0.038937,0.339541,0.148212,0
CONTEIN SAS,0.086007708,0.000423,0.053861,0.197468,0.017774,0.246199,0.704629,0
