Razón Social,Margen EBIT,Carga financiera,Margen neto,CxC,CxP,Solvencia,Apalancamiento,En Reorganización
PURICLOR SAS,0.047299682,0,0.024773,0.218014,0.00507,2.15259,1.778317,0
Piedrahita Arango Comercial SAS,0.048840347,0.00975,0.026258,0.180341,0.15114,1.770812,2.478259,0
Prexxa SAS,0.04741845,0.047181,-0.006123,0.29613,0.237387,0.18507,0.28835,0
QBIKA INVERCONSTRUCCIONES S.A.S,0.005048,0.007928,0.040117,0.187988,0.022699,0,2.152584,0
QUIMIFAST Y CIA SAS,0.099869381,0.010798,0.082283,0.178566,0.182965,0,2.210209,0
RAELJA INGENIERIA SAS,0.112462835,0.003458,0.067422,0.438292,0.01179,0,2.559797,0
RAMIREZ CARDOSO SOCIEDAD ENCOMANDITA SIMPLE RAMIREZ CARDOSO S EN C,-0.014279209,0,0.062971,0.324943,0.006661,0,1.310692,0
RASTRACK SAS,0.088064466,0.010492,0.046359,0.178609,0.183881,0,2.107099,0
REFORESTADORA MORICHALES S.A.S.,0.056459882,0,0.042426,0,0,0,0.468326,0
REPUESTOS EL PALENQUE SAS,0.0495871,0,0.01833,0.177486,0.147635,0,0.888398,0
RIMOPLASTICAS S.A.,0.105876306,0.0345,0.043841,0.263713,0.140439,0.484988,0.499695,0
RINCON CASH SAS,0.014658257,0,0.017504,0.142074,0.079517,0,1.873055,0
SACOTTO SAS,0.019714899,0.00468,0.009195,0.079323,0.085504,0.823538,0.469146,0
SANEAR S.A,0.057246653,0.01526,0.025716,0.213707,0.047333,0.981227,2.433692,0
SARACORP SAS,0.198770934,0.05866,0.087401,0.22333,0.079971,0.614113,1.666338,0
SENSORICA E INGENIERIA SAS,0.070109659,0.023057,0.030929,0.343303,0.169651,0.310206,1.464403,0
SERVICIOS INMOBILIARIOS METRICA SAS,0.113901925,0,0.074019,0.395567,0.000936,0,0.932864,0
SERVICONSTRUCCIONES PJ SAS,0.052768113,0.000487,0.028283,0.387376,0.087844,0.275165,1.276907,0
SERVIOLA SAS,0.02165996,0.004694,0.012906,0.137361,0.041615,0,2.09154,0
SIMA CONSTRUCCION & CONSULTORIA S.A.S,0.044293403,0,0.024269,0.230023,0.071885,0.641857,0.898206,0
SINUBEEF SAS,0.032087856,0.001622,0.022855,0.052722,0.044123,0.733127,0.39558,0
SKY GROUP MINERALS SAS,0.048016719,0.003217,0.028414,0.54413,0.080576,0,3.707811,0
SMI GROUP SAS,0.106587833,0.000012,0.064901,0.421053,0.081481,0,2.196326,0
SOCIEDAD PORCICOLA LA UNION,0.080987996,0,0.051854,0.102345,0.184641,0,2.597308,0
SOLUCIONES LOGISTICAS MAD S.A.S.,0.003802858,0,0.003803,0.141496,0.019564,0.027946,0.412095,0
SOLUTA FOODS S.A.S,0.032044267,0.017291,0.008487,0.148729,0.13797,0.214152,0.289633,0
SONIDO TECNICO SONOTEC LTDA,0.085457333,0.010435,0.047383,0.161149,0.028979,1.231228,2.374904,0
SONY MUSIC PUBLISHING COLOMBIA LTDA,0.125873629,0,0.059231,0.325617,0.044087,0,0.389762,0
SOS CONTINGENCIAS SAS,0.117919229,0,0.068251,0.371047,0.084814,1.736883,0.997719,0
SRSS RESOURCES MIN SAS,0.126827104,0,0.072294,0.387699,0.287564,0.631675,0.779392,0
SUMA ARQUITECTONICA SAS,-0.054076769,0.011217,-0.024745,0.13824,0.094061,-0.004708,0.138572,0
TECNIDECOR SAS,0.037864919,0.030563,0.002016,0.280048,0.211142,1.123423,0.624334,0
TEKZOL SAS,0.175356509,0.01337,0.105562,0.238418,0.074741,1.060068,1.339364,0
TEMPLAMOS S.A.S,0.100710438,0.048918,0.026535,0.311911,0.154097,0.371578,2.502919,0
TOLENTINO S.A.S,0.173323505,0.05608,0.050841,0.272573,0.100822,0.981259,0.577659,0
TRACKING SOLUTIONS TSO SAS,0.045146524,0.0358,0.015379,0.163584,0.032485,0,0.870358,0
TRAINCO SAS,0.03007783,0.001503,0.029191,0.30664,0.2298,0.209799,0.566971,0
TSUMICOL SAS,0.086114003,0,0.054919,0.326724,0.017784,0,2.34298,0
UNICAMPEROS SA,0.100614916,0.04092,0.045083,0.16992,0.155595,0,3.609987,0
UNIFORMES NACIONALES SAS,0.04622808,0.055759,-0.009708,0.307743,0.262781,0.208837,0.149754,0
UNIMAQ SA,0.017443768,0,0.011877,0.300213,0.33011,0.02798,0.290651,0
VAOX GROUP COLOMBIA SAS,-0.044080115,0,-0.022549,0.183774,0.078046,-0.165399,0.118958,0
VICTOR RAUL VARGAS Y CIA CONSTRUVIR LTDA,0.153954378,0.029438,0.079046,0.064013,0.018064,0.079333,1.243902,0
VIVESSALUD EJE CAFETERO S.A.S,0.103454919,0,0.064193,0.425502,0.089727,1.610065,2.340617,0
VR INGENIERIA Y MERCADEO SAS,0.141669864,0.030004,0.080122,0.073367,0.039079,1.530224,2.084061,0
WG CONSULTORES SST SAS,0.099932068,0.032382,0.031984,0.210975,0.305011,0.578003,0.639748,0
WILCAR REMODELACIONES Y ACABADOS LTDA,0.091018737,0,0.058032,0.492177,0.099319,0,2.488288,0
Y&V INGENIERIA Y CONSTRUCCION SUCURSAL,0.041593237,0.038022,0.002792,0.321632,0.151613,0.3159,0.476439,0
YENJHON SA,0.071288357,0.042092,0.014196,0.244312,0.209874,0.333859,1.478456,0
ZIAD HASSAM ISMAIL CADENA MULTI S EN C S,0.056805788,0.014521,0.026245,0.043842,0.117364,0.38481,0.93932,0
lLABORATORIOS ASEPTIC S.A.S.,0.06368669,0,0.034201,0.581565,0.247442,0.6151,1.536885,0
ABC LABORATORIOS SAS EN REORGANIZACION,0.013973036,0,0.002089,0.093823,0.033976,0.71061,1.775273,1
AEROLINEA REGIONAL DE COLOMBIA  SAS - EN REORGANIZACION,-0.055000441,0.0744,-0.159972,0.947839,0.156116,-0.083928,0.327413,1
AGENCIA DE ADUANAS GRANANDINA LTDA. NIVEL 1 EN REORGANIZACION,0.115561702,0.079634,-0.020159,1.833729,0.875078,0.438612,0.209113,1
AGENCIA DE SEGUROS ARANGO PAREJA Y CIA LIMITADA EN REORGANIZACION,0.021892009,0.010452,-0.010842,0.134673,0.217909,0,-0.883886,1
AGRAGROGANADERA Y PRODUCTORA DE ALIMENTOS CASANARE SAS EN REORGANIZACIONOGANADERA Y PRODUCTORA DE ALIMENTOS CASANARE SAS EN REORGANIZACION,0.048468111,0.142555,-0.104028,0.053145,0.102585,0.002559,0.84359,1
AGREGADOS& TRANSPORTES LA ROCA S.A.S. EN REORGANIZACION,-1.64762248,0,-1.647622,1.621971,1.769629,0,-0.385636,1
AGRICOLA BUFALERA DE COLOMBIA S.A.S EN REORGANIZACIÓN,-0.085158793,0.02889,-0.111945,0.273483,0.267257,-0.145243,2.693838,1
AGRO FILTER SAS EN REORGANIZACION,0.044566275,0,0.02725,0.249083,0.118401,0,0.736331,1
AGROINCA SAS EN REORGANIZACION,-0.001892148,0.004343,-0.029208,0.119183,0.13345,-0.005741,0.186529,1
AGROORGANICOS DE COLOMBIA SAS EN REORGANIZACION,0.039955553,0,0.039956,0,0,0.123478,1.81541,1
AGROPECUARIA  BENGALA LTDA -EN REORGANIZACION,0.090565852,0,0.053046,0.134171,0.044523,0,1.161499,1
AGROPECUARIA DE COMERCIO SAS EN REORGANIZACION,0.054352631,0.025692,0.020237,0,0,0,0,1
AGROPECUARIA LA RIVERA GAITAN SAS EN REORGANIZACION,0.041103567,0.005144,0.005383,0.128803,0.114639,0,0.238677,1
AGROPECUARIA LA SORIA S.A.S. EN PROCESO DE REORGANIZACION,-0.00072685,0.013667,-0.018803,0.338792,0.250929,-0.007162,0.01068,1
AGROPECUARIA VARGAS VALLEJO Y CIA SAS - EN REORGANIZACION,-0.061472357,0.023369,-0.011277,0.98862,0.336,0,0.210321,1
AGROVICMART SAS EN REORGANIZACION,0.293057147,0.004297,0.245232,0.505816,0.14206,0.700276,2.128382,1
ALQUILERES Y SERVICIOS SA  Y DE FORMA ABREVIADA COMO ALQUISER EN REORGANIZACION,0.024346175,0,0.015338,0.210852,0.504104,0.067423,0.322386,1
ALVARO ROLANDO PEREZ CASTRO ABOGADOS SAS-EN REORGANIZACION,0.138325031,0,0.138325,4.811602,2.275688,0,0.273575,1
AMBIENTES Y DISEÑOS SAS EN REORGANIZACION,-0.025692907,0.043555,-0.069248,0.041887,0.245336,-0.046547,-0.401733,1
AMENI GROUP S.A.S EN REORGANIZACION,-0.004766079,0,-0.004766,0.62175,0.16026,-0.138858,0.220153,1
"AMERICANA, SERVICIOS AMBIENTALES Y PETROLEROS S.A. ASAP S.A. EN REORGANIZACIÓN",0.29300862,0.019746,0.183859,0.313713,0.092769,3.639365,1.004661,1
ANALYTICS DATA SAS - EN REORGANIZACIÓN,0.085728007,0.031659,0.03627,0.126966,0.003947,0.10745,1.032562,1
ANDINA EN REORGANIZACION,0.10418003,0.016251,0.087955,0.246117,0.09064,0,2.008054,1
APICE INGENIERIA Y SOLUCIONES DE AVANZADA S.A. EN REORGANIZACION,0.049582726,0.035199,0.003385,0.313892,0.097378,0,0.081142,1
ARENERA LOS PINOS LTDA EN REORGANIZACION,0.010029571,0,0.000377,0.297335,0.05661,0.042535,0.563188,1
ARQUIAGRO SAS EN REORGANIZACION,0.000755488,0,0.000755,0,0.980024,0,7.021154,1
ASFALTART SAS EN REORGANIZACION,-0.118186969,0,-0.148173,0.333515,0.125908,-0.485173,0.445155,1
ASTORGA SAS EN REORGANIZACION,0.069433893,0.118681,-0.132144,0.296489,0.168891,0.044747,0.597225,1
AUTO REPUESTOS MAZRENO S.A.S. EN REORGANIZACION,0.027831578,0.006294,0.012599,0.60799,0.373154,0.037852,0.46249,1
AVEGAR SAS EN REORGANIZACION,-0.24359491,0,-0.243595,7.237073,0.019088,0,0.902571,1
B&V ESTRUCTURAS METALICAS LIMITADA EN REORGANIZACION,0.169323907,0.0659,0.103424,5.517033,0.619137,0.394801,2.385724,1
BIKAR SAS EN REORGANIZACION,0.093483388,0,0.074787,0.433933,0.247168,0.212933,-0.125535,1
BIODIVERSIDAD Y PALMA - BIOPALMA S.A.S EN REORGANIZACION.,0.324611503,0,0.266128,1.332925,0.554834,2.479396,1.377628,1
BOTERO LOSADA SA EN REORGANIZACION,0.043986918,0.110287,-0.0663,0.783527,0.201236,0.077725,0.270466,1
BTP MEDIDORES Y ACCESORIOS SA EN REORGANIZACION,0.025684987,0.023741,0.002702,0.246664,0.022098,1.523535,0.931848,1
"C S I CONSTRUCCIONES, SERVICIOS E INGENIERIA E U - EN REORGANIZACIÓN",0.167282342,0.001689,0.107635,2.730619,0,0.340076,2.846441,1
C&CO SERVICES SAS EN REORGANIZACION,-0.597411042,0,-0.585767,0.12307,1.193533,0,-0.394724,1
CABLETEC SAS EN REORGANIZACION,0.033267405,0.005758,0.023723,0.044299,0.027447,0,0.475613,1
CACHORRITOS PARA TI S.A.S. EN REORGANIZACION,0.021097304,0,0.013709,0.041523,0.536241,0.123206,-0.024839,1
CALIZAS DEL LLANO SA EN REORGANIZACION,-0.023587094,0,-0.019184,0.46663,0.480054,-0.037897,0.926422,1
CAPSULAND COLOMBIA SAS EN REORGANIZACION,0.148130935,0,0.148131,0.358316,0.449221,4.828213,0.435158,1
CARBONES DE TOLEDO SA EN REORGANIZACION,0.093309181,0.057145,0.016343,0.151414,0.008664,0.295918,1.46814,1
CARBONES SAN FERNANDO S.A.S. EN PROCESO DE REORGANIZACION,-0.015427756,0,-0.010969,0.034271,0.100648,-0.289073,0.020174,1
CARLLANTAS SAS EN REORGANIZACION,-0.014550848,0,-0.014551,0.040967,0.074247,-0.091641,0.3365,1
CARLOS A. CASTAÑEDA & CIA S.C.A. EN REORGANIZACIÓN,0.024004893,0,0.015603,0.258481,0.360942,0,0.15591,1
CB HOTEL GOURMET SAS EN REORGANIZACIÓN,0.009625514,0,-0.003725,0.105265,0.05117,0.053242,0.959598,1
CELUTEL COMUNICACIONES FERNANDEZ SANCHEZ SAS EN REORGANIZACION,-0.017407509,0.031922,-0.062051,0.389036,0.163237,-0.071047,0.199426,1
CENTRAL DE NEGOCIOS GOFRA SAS EN REORGANIZACIONCENTRAL DE NEGOCIOS GOFRA SAS EN REORGANIZACION,-0.011728405,0,-0.017779,0.160339,0.105975,-3.878187,0.024601,1
CENTRO DE DISTRIBUCION DE CARNES DEL SINU SAS EN REORGANIZACION,0.023381547,0.003135,0.015164,0.005405,0.056659,0.071283,0.232105,1
CENTRO TEXTIL SAS CENTEX EN REORGANIZACION,-0.430557676,0.021918,-0.452079,0.029533,0.717999,-0.340736,0.011664,1
CHARRY OLARTE SAS ENREORGANIZACION,0.022866462,0,0.013659,0.025412,0.227477,0.061098,1.678503,1
CHRONOS FANTASY SAS EN REORGANIZACION,-0.086669106,0.020874,-0.107543,0.106618,3.539201,-0.261053,-0.687762,1
CI COMSOLUTIONS S.A.S EN REORGANIZACION,0.158022961,0.011162,0.085266,0.802817,0.146971,1.637245,1.133178,1
CI TESCO SAS EN REORGANIZACION,-1.628822117,0.018056,-1.646878,6.777621,5.520864,-1.499023,0.081815,1
CI TEXMAN SAS EN REORGANIZACION,-0.091153894,0.099776,-0.268385,0.278129,0.085099,-0.026505,0.534629,1
CIVAREL INGENIERIA LTDA EN REORGANIZACION,0.074463194,0.007307,0.067156,1.533415,0.806357,0.059125,0.341985,1
CMG CONSTRUCCIONES Y MONTAJES GENERALES SAS - EN REORGANIZACION,0.086800536,0.023969,0.06288,0.465544,0.331244,0.117257,-0.294646,1
COBRANZAS ESPECIALES GERC S.A. EN REORGANIZACION,-0.139870031,0,-0.150218,6.900079,2.884469,-0.098422,0.542309,1
COCHEROS SAS EN REORGANIZACIÓN,0.017128902,0.027628,-0.021966,0.259415,0.339727,0,0.006287,1
COLOMBIAN COAL S.A. EN REORGANIZACION,2.252395568,0.009939,1.660397,0.884296,1.361208,1.337311,0.020284,1
COLOMBIANA DE CALDERAS COLCALDERAS SAS EN REORGANIZACION,0.155765078,0.107483,0.001657,2.200319,0.215724,0.272255,0.488275,1
COMARCA MARKETING ADVERTISING S A S EN REORGANIZACION,0.251653283,0.01497,0.143505,2.9571,0.235825,0.235282,0.699785,1
COMERCIAL CHEMICAL SAS EN REORGANIZACION,-0.221396997,0,-0.221397,0.211205,1.252021,0,-0.365783,1
COMERCIALIZADORA E IMPORTADORA SAS - EN REORGANIZACION,-0.01084605,0.178743,-0.090404,1.789099,0.898617,-0.004215,0.006661,1
COMERCIALIZADORA INTERNACIONAL SOLOMETALES S.AS CI SOLOMETALES EN REORGANIZACION,0.014615505,0,0.004815,0.084291,0.792594,0.008144,0.538126,1
COMPAÑIA AGROPECUARIA DE LA VICTORIA S A - EN REORGANIZACION,-0.112058777,0.004642,-0.117659,1.093861,0.050376,-3.957582,4.224622,1
COMPAÑIA DE CONTROL DE CONTAMINACION DE COLOMBIA C4 SAS EN REORGANIZACION,0.034486165,0,0.022416,0.037069,0.090817,0.092143,-0.447727,1
COMPAÑIA DE SEGURIDAD Y VIGILANCIA PRIVADA SIMON BOLIVAR LTDA EN REORGANIZACIÓN,0.027415549,0.005244,0.014411,0.174346,0.004885,0,1.897665,1
COMPAÑIA GANADERA LA MILAGROSA SAS EN REORGANIZACION,0.074898778,0.002657,0.04336,0.239086,0.105278,0.160434,0.810309,1
COMPAÑIA NACIONAL DE ACEITES S.A. EN REORGANIZACION,0.024704021,0.009124,0.011566,0.082073,0.106433,0.103385,0.955273,1
CONCISAN SAS CONSULTORIA Y CONSTRUCCIONES CIVILES Y SANITARIAS SAS EN REORGANIZACION,0.072642757,0.011914,0.039474,0.057746,0.000328,2.141039,4.111153,1
CONSTRUCCIONES AP SAS EN REORGANIZACION,0.010143629,0.004569,0.000065,0.34337,0.04784,0.034914,0.495834,1
CONSTRUCCIONES OBRAS Y SUMINISTROS SAS EN REORGANIZACION,0.107566682,0.017481,0.092096,0.987801,0.148836,0.745603,2.193817,1
CONSTRUCCIONES PEÑALISA SAS EN REORGANIZACION,0.008762824,0.016038,-0.007248,0.060464,0.069498,0.000408,-0.040155,1
CONSTRUCTORA VALU LTDA - EN REORGANIZACION,-0.643125498,0,-0.643125,2.224,0.743253,-0.825227,0.01037,1
CONSTRUINVERSIONES AYM SAS EN REORGANIZACION,0.369096083,0.049237,0.210051,3.467732,0.286619,0.109468,-0.264805,1
CONSTRUSUELOS DE COLOMBIA SAS EN REORGANIZACION,0.040870771,0,-0.045852,2.095547,0.149528,0.289473,1.748903,1
CONTROLES Y AUTOMATIZACION S A S - EN REORGANIZACION,0.127450499,0,0.075597,0.585457,0.526891,0,1.018048,1
CORDOBLEZ MA SAS EN REORGANIZACIÓN,-0.073491967,0,-0.073492,0.071582,0.835202,-0.347102,0.069474,1
CREDITITULOS SAS EN REORGANIZACION,-0.413833682,0.021223,-0.435057,3.988406,0.859053,-0.101313,0.445569,1
CRISTALES TEMPLSDOS LA TORRE SAS-EN REORGANIZACION,0.034053263,0.028385,-0.00929,0.103272,0.186117,0.100882,-0.112701,1
CUBIERTAS SAS EN REORGANIZACION,0.04450905,0,0.024902,0.411524,0.07082,0.428426,0.131361,1
Caribbean Wood Packaging S.A.S. en Reorganizacion,0.032243607,0.012532,0.005519,0.096782,0.016286,3.20355,0.258364,1
DATASUMINISTROS SAS EN REORGANIZACION,0.112255465,0,0.112255,0.311105,0.017126,0.428324,0.442009,1
DERMATOLOGIA VIP SAS ENREORGANIZACION,-0.154025252,0,-0.16931,0.211743,0.235558,0,0.910436,1
DICOPLAST S.A.S. EN REORGANIZACION,0.127949302,0.027534,0.057045,0.080619,0.080692,0.888771,1.008017,1
DIMOIN TANQUES DE COLOMBIA SAS EN REORGANIZACIÓN,0.021810157,0.007661,0.01191,0.229742,0.011196,0.071431,0.136363,1
DISEÑO PETROMECANICO SAS EN REORGANIZACION,0.008062464,0.003915,-0.000553,0.188863,0.199349,0.073528,0.066855,1
DISTRIBUCIONES ANDINAS BIEN HECHAS SAS EN REORGANIZACION,0.053467683,0.009073,0.022321,0.896593,0.288286,0.111153,0.083776,1
DISTRIBUIDORA DE ACEROS Y METALES SAS DISAMETALES SAS EN REORGANIZACION,0.071336801,0.016845,0.034398,0.198631,0.0653,1.216995,1.378669,1
DON JEDIONDO SOPITAS Y PARRILLA SAS EN REORGANIZACION,-0.051715668,0.048885,-0.099889,0.247977,0.041201,-1.099225,0.007422,1
DON VILLA SNACKS SAS EN REORGANIZACION,0.015601455,0.010729,0.00434,0.128754,0.131452,0.149718,0.330462,1
DROSERVICIO LTDA EN REORGANIZACION,-0.031847754,0.001109,-0.032956,5.150875,0.217377,-0.021263,0.387988,1
DUGATAN LTDA - EN REORGANIZACIÓN,0.009627518,0,0.003794,0.707336,0.056338,0.089729,0.260463,1
DURATA SAS EN REORGANIZACION,0.048844145,0.010293,0.025102,0.208491,0.030512,0.281783,0.250172,1
E TRAINING SAS EN REORGANIZACION,0.124959684,0.001849,0.094146,0.254161,0.098674,1.013435,0.673355,1
E&C CONSTRUCCIONES SAS - EN REORGANIZACIÓN,0.050863679,0.010841,0.005855,4.472088,0,0.017106,0.267438,1
EDOSPINA SAS EN REORGANIZACION,0.064636218,0,0.058717,0.136508,0.192974,0.148411,0.429813,1
EDUPOL SAS EN REORGANIZACIÓN,0.189131013,0,0.444938,0.185508,0.449861,0,-0.734268,1
EFICOL SAS EN REORGANIZACION,0.126305792,0,0.05464,0.252892,0.264913,1.320118,0.522495,1
ELECTROMAC SAS EN REORGANIZACION,0.04861284,0,0.030995,0.283788,1.213536,0,0.660218,1
EMBOTELLADORA CAPRI LTDA EN REORGANIZACION,0.13196444,0.001029,0.086067,0.10737,0.06875,0,1.336941,1
EMPAQUES FLEXIBLES DE COLOMBIA SA EN REORGANIZACION,0.014404049,0.015818,0.008878,0.360413,0.194591,0,1.423702,1
ENRIQUE PRADA W SAS EN REORGANIZACIÓN,-0.10042466,0,-0.100425,1.45878,0,-1.09738,6.357982,1
ENTRECARNES SAS EN REORGANIZACION,0.004172187,0,0.004172,0.215481,0.170971,0.01876,-0.178002,1
EQUIPO DE COCINA CREATIVA SAS EN REORGANIZACION,-0.003104753,0,-0.014914,0.090993,0.064051,-0.011723,0.033603,1
ESPACIOS CONCRETOS SAS - EN REORGANIZACION,-0.8589005,0,-0.8589,6.573418,1.079527,0,-0.665401,1
ESTACION DE SERVICIOS LA VARIANTE DE SANTA FE DE ANTIOQUIA LTDA EN REORGANIZACION,0.016632342,0.00805,0.008583,0.024003,0.046334,0.075485,1.468083,1
ESTACION DE SERVICIOS LAS CEIBAS CALI SAS EN REORGANIZACION,-0.015655484,0.007901,-0.021285,0.16922,0.085263,0,0.942623,1
ESTACIONES MARTIGO SAS EN REORGANIZACION,-0.000107581,0,-0.000108,0.058397,0.047998,-0.000215,0.426768,1
EVOLUTION OUTSOURCING SAS EN REORGANIZACION,0.036075923,0,0.015553,0.293703,0.016015,4.902345,0.638537,1
EXTRACTORA CUSIANA SAS EN REORGANIZACION,0.031759853,0.019537,-0.001312,0.380813,0.132695,0,0.213963,1
Empresa Colombiana de Transporte ECOTRANSPORTE SAS - En Reorganizacion,0.043191962,0.00094,0.027466,0,0.015143,0,-0.174294,1
FABRICA DE CABLES Y ENCHUFES SAS EN REORGANIZACION,-0.078176851,0.005972,-0.084149,1.815234,0.05364,-0.01869,0.160816,1
FALCON FREIGHT SA EN REORGANIZACION,0.098870482,0,0.06247,0.722919,0.486757,1.218739,0.546717,1
FC FAUCETS DE COLOMBIA SAS - EN REORGANIZACION,-1.623024024,0,-1.623024,0.672191,0.041706,-1.526262,-0.568949,1
FERIAS Y EVENTOS SA ENREORGANIZACION,-0.031583282,0,-0.02649,0.120427,0.02127,-0.059787,0.723009,1
FERRETERIA CESAR SAS EN REORGANIZACION,-0.172058757,0,-0.173323,1.160356,0.346518,0,0.783154,1
FORRETODO S.A.S. EN REORGANIZACION,-0.060816048,0.056355,-0.117172,0.04364,1.741338,0,0.290413,1
FOTO DEL ORIENTE LTDA EN REORGANIZACION,0.016395582,0,0.012158,1.694453,1.770974,0,0.093206,1
FRC INGENIERIA SAS EN REORGANIZACION,-0.090638379,0.018329,-0.092043,0.067395,0.037855,0,0.098125,1
FRIGORIFICOS BAMAR SAS EN REORGANIZACION,0.019990682,0,0.012994,0.262056,0.534382,0,0.521789,1
GEOSPATIAL SAS EN REORGANIZACION,0.236727909,0.030086,0.176947,0.913368,0.783265,0,0.278907,1
GESTORES & CONSULTORES G&C LTDA EN REORGANIZACION,0.192867476,0.007454,0.185414,2.48364,0.276527,0,-0.262456,1
GOLDEN COMUNICACIONES SAS EN REORGANIZACIÓN,0.238485097,0.042207,0.400467,0.346535,0.01286,0.362407,0.078403,1
GOLDEN TOWERS DEVCO SAS EN REORGANIZACION,0.477058741,0.041531,0.215263,0,0.003686,0,0.058574,1
GRUPO ALEMAN SAS EN REORGANIZACION,0.036361987,0.035356,0.000654,0.01861,0.927836,0.031737,0.158311,1
GRUPO AZER SAS -  EN REORGANIZACION,0.087978574,0,0.057186,0.885468,0.584102,0,0.817493,1
GRUPO COMERCIAL TOLIMENSE S.A.S - EN REORGANIZACION,0.042882918,0.024086,0.012608,0.149944,0.073366,0.175184,0.236301,1
GRUPO EMPRESARIAL LA GRAN FORTALEZA S A S - EN REORGANIZACIÓN,-0.532051163,0,-0.604512,1.618441,2.551982,-0.38096,-0.741786,1
GRUPO EMPRESARIAL SOLANCO S.A. EN REORGANIZACION,0.095136575,0,0.06184,13.231991,6.478226,0.008622,-0.027653,1
GRUPO GUERRERO GONZALEZ S.A. EN REORGANIZACION,-0.165302796,0,-0.089885,0.294074,0.047796,-0.13091,0.048553,1
GRUPO MAPA INMOBILIARIO SAS EN REORGANIZACION,0.270474527,0.007514,0.221868,0.006058,0.412836,0,2.044515,1
GUILLERMO PULGARIN S SA EN REORGANIZACION,0.055283295,0.034256,0.021481,0.266257,0.061795,0.223053,0.722973,1
HAMBURGUESERIAS S.A.S. -EN REORGANIZACIÓN,0.011916015,0.037226,-0.029598,0.02176,0.053208,0.094262,-0.573922,1
HERRAMIENTAS INDUSTRIALES S.A.S EN REORGANIZACIÓN,0.088988618,0.013799,0.042581,1.068219,0.167146,0.104994,1.071762,1
HIBERUS TECNOLOGIA COLOMBIA SAS EN REORGANIZACIÓN,0.161633134,0,0.066181,0.256003,0.041283,0,1.953565,1
HIFER SA EN REORGANIZACION,-0.063875421,0.01883,-0.108056,0.102179,0.496638,-0.133053,-0.405297,1
I 3NET SAS - EN REORGANIZACION,-1.45319341,0,-1.453193,0.233181,0.155512,-0.401622,-0.251008,1
ICE MAN SERVICE S.A.S EN REORGANIZACION,0.006929652,0.01504,-0.00811,0.72406,0.146694,0.058195,0.486871,1
ICMO SOCIEDAD POR ACCIONES SIMPLIFICADA EN REORGANIZACION,0.109183481,0,0.070969,1.308274,0.456193,0.477249,0.360953,1
ICOPEL SAS EN REORGANIZACION,0.041863259,0.014523,0.013337,0.394277,0.095613,0.116352,0.373105,1
IDAIA COLOMBIA SAS EN REORGANIZACIÓN,0.034493192,0.109649,0.937441,3.31279,1.37439,0.002935,-0.031969,1
IGUARAN HENRIQUEZ & CIA S C S. EN REORGANIZACION,0.072051385,0,0.072051,2.485605,0.064958,0.006283,1.177989,1
IIMEC INGENIERIA & CONSTRUCCIONES SAS EN REORGANIZACION,0.032263121,0.045198,-0.074479,1.581743,0.037937,0.00523,0.308757,1
IJD GOMEZ SAS EN REORGANIZACION,0.037508439,0.025092,-0.00427,0.063155,0.108333,1.631986,0.518141,1
IMPACTA PRODUCCIONES S.A.S. EN REORGANIZACION,0.275794871,0.020029,0.198839,0.004529,0.007894,1.888318,1.235577,1
IMPORTACIONES GRUCAL SAS EN REORGANIZACION,-0.101380894,0.02185,-0.134744,0.461164,0.30841,-0.088211,-0.450928,1
IMPORTADORA FAMA S.A.S. EN REORGANIZACION,0.047539002,0.020559,0.008232,0.466711,0.09696,0.026111,-0.050028,1
INDUGANADERA DEL MAGDALENA SAS- EN REORGANIZACIÓN,-0.566799789,0.021468,-0.586759,0.014323,0.133089,-0.202806,1.961429,1
INDUSTRIA DE ALIMENTOS GRANSOLI Y CIA S EN CA EN REORGANIZACION,0.080556993,0.024078,0.036711,0.112285,0.074017,1.54666,0.191273,1
INDUSTRIA MANUFACTURERA DE CALZADO SAS EN REORGANIZACION,-0.076343209,0.056442,-0.080884,0.065802,0.179508,-0.33131,0.297001,1
INDUSTRIA PRODUCTORA DE ARROZ S.A EN REORGANIZACION,0.119395886,0.048113,0.07652,0.334955,0.067573,0.036448,1.295999,1
INDUSTRIAL DE EMPAQUES FLEXIBLES SAS - EN REORGANIZACION,0.013937811,0.018861,0.00005,0.243097,0.25156,0.116413,0.047763,1
INDUSTRIAS DEL CONFORT SA EN REORGANIZACION,0.047600523,0.034257,0.013345,0.032996,0.122702,0.05331,0.607381,1
INDUSTRIAS EL COE S.A.S. EN REORGANIZACION,0.035007931,0,0.022755,0.089583,0.123625,0.628325,0.058,1
INDUSTRIAS ENSUEÑO SAS - EN REORGANIZACION,0.070069395,0.018367,0.032019,0.111151,0.153323,0.364957,0.566468,1
INDUSTRIAS PACECOL SAS EN REORGANIZACION,0.011346187,0,0.011346,0.096318,1.697693,0.013102,-0.467918,1
INGENIERIA CIVIL & AMBIENTAL - INGENIEROS CONSULTORES S.A.S. EN PROCESO DE REORGANIZACION,0.153370807,0.000067,0.153371,0.062368,0.045324,0,1.557165,1
INGENIERIA TOTAL SAS EN REORGANIZACION,0.071628957,0,0.071629,15.823028,0.18348,0.008382,0.692185,1
INGENIERIA Y SUMINISTROS BROCA SAS EN REORGANIZACION,-0.058465006,0.001405,-0.064468,0.393363,0.203119,-0.028426,2.029413,1
