fecha_publicacion,candidato,titulo_video,vistas,likes,comentarios,suscriptores_canal,engagement_rate,engagement_por_1000
2025-03-07,Vicky Dávila,Colombia sin impunidad: el fin de los criminales se acerca,2179,464,29,334000,21.29,1.48
2025-03-06,Vicky Dávila,"La verdad sobre Colombia: Seguridad, Crisis y Oportunidades – Vicky Dávila en Madrigal 88.1FM",929,82,13,334000,8.83,0.28
2025-03-06,Vicky Dávila,"Vicky Dávila en UMFM Manizales: Propuestas, Seguridad y Futuro de Colombia",611,56,10,334000,9.17,0.2
2025-03-06,Vicky Dávila,"Entrevista en Que Buena 92.1 FM | Vicky Dávila: Lo que está en juego, la democracia y la libertad",798,87,18,334000,10.9,0.31
2025-03-06,Vicky Dávila,Colombia Necesita un Líder Leal  La Visión de Cambio,2486,469,45,334000,18.87,1.54
2025-03-05,Vicky Dávila,Vicky Dávila en &quot;El Ping Pong Político&quot; con Juan Pablo Sánchez | Ecos del Combeima,958,67,7,334000,6.99,0.22
2025-03-05,Vicky Dávila,Siempre he dicho la verdad y,4666,548,27,334000,11.74,1.72
2025-03-05,Vicky Dávila,¡Colombia al Borde del Colapso! Crezcamos Juntos por un Futuro Mejor,1356,282,30,334000,20.8,0.93
2025-03-04,Vicky Dávila,Julián vive con miedo: la inseguridad en Colombia es insostenible,1818,269,18,334000,14.8,0.86
2025-03-03,Vicky Dávila,¡La salud en Colombia está en crisis!,1569,267,24,334000,17.02,0.87
2025-03-01,Vicky Dávila,¡Colombia al borde de un APAGÓN! Crisis energética  #vickydávila,1954,404,28,334000,20.68,1.29
2025-02-28,Vicky Dávila,Mi Entrevista en La Luciérnaga: Hablamos del Gobierno y el País,2771,139,43,334000,5.02,0.54
2025-02-27,Vicky Dávila,¡Unámonos con los ciudadanos!,2353,570,45,334000,24.22,1.84
2025-02-26,Vicky Dávila,"Mi familia, mi motor de vida | Vicky Davila",7162,744,23,334000,10.39,2.3
2025-02-25,Vicky Dávila,Los empresarios y el país: Necesitamos una #economía  libre 🇨🇴 | Vicky Dávila,1174,156,11,334000,13.29,0.5
2025-02-25,Vicky Dávila,"Periodista, Mamá y Precandidata: Entrevista de @LaKalle  | Vicky Dávila",4307,238,98,334000,5.53,1.01
2025-02-25,Vicky Dávila,"Seguridad, Tarifas de Energía y Más | Emisora #Atlántico",149608,737,616,334000,0.49,4.05
2025-02-25,Vicky Dávila,Cómo veo Medellín y Antioquia: el presente y el futuro de Colombia | Entrevista en IFM Noticias,43130,112,110,334000,0.26,0.66
2025-02-25,Vicky Dávila,¡Mi Entrevista en @RedMasNoticias ! Hablo Claro Sobre Mi Precandidatura | Vicky Dávila,1472,125,43,334000,8.49,0.5
2025-02-25,Vicky Dávila,¡Nunca me arrodillaré ante Maduro! Ni a un dic,1803,239,8,334000,13.26,0.74
2025-02-25,Vicky Dávila,Armando Benedetti y su llegada al Ministerio del Interior,1843,334,16,334000,18.12,1.05
2025-02-24,Vicky Dávila,"Hechos, no discursos: 33 años luchando por Colombia",510,52,2,334000,10.2,0.16
2025-02-24,Vicky Dávila,¿Qué es la experiencia? ¿Haber convivido con un sistema podrido o haber contribuido a él?,646,96,7,334000,14.86,0.31
2025-02-24,Vicky Dávila,Me cansé de denunciar sin resultados. Ahora voy a hacer algo distinto.,2819,184,29,334000,6.53,0.64
2025-02-24,Vicky Dávila,¿Uribe vicepresidente? Esto respondí cuando me preguntaron en Radio Uno,1772,255,12,334000,14.39,0.8
2025-02-24,Vicky Dávila,¿Y si Elon Musk y Mark Zuckerberg invirtieran en Colombia?,734,152,7,334000,20.71,0.48
2025-02-24,Vicky Dávila,"El papel de la mujer en Colombia: trabajo, liderazgo y honestidad",943,185,15,334000,19.62,0.6
2025-02-24,Vicky Dávila,¡El gobierno traicionó a los jóvenes con el ICETEX!,5353,1219,57,334000,22.77,3.82
2025-02-21,Vicky Dávila,Las mujeres somos berracas para trabajar.,1962,513,41,334000,26.15,1.66
2025-02-21,Vicky Dávila,"Ojalá Elon Musk y Mark Zuckerberg pusieran sus empresas en Colombia,",1737,475,21,334000,27.35,1.49
2025-02-21,Vicky Dávila,¡Este gobierno ha traicionado a Medellín y Antioquia!,1215,120,24,334000,9.88,0.43
2025-02-21,Vicky Dávila,¡Daniel Quintero no me desviará de mi camino!,1115,103,24,334000,9.24,0.38
2025-02-20,Vicky Dávila,"¡Soy un soldado de Colombia, lucho por la democracia y la libertad!",3733,660,35,334000,17.68,2.08
2025-02-20,Vicky Dávila,¡Liberemos a la Fuerza Pública para que nos libere a todos!,1915,160,69,334000,8.36,0.69
2025-02-20,Vicky Dávila,El 74% de los municipios con presencia de grupos criminales,925,258,14,334000,27.89,0.81
2025-02-20,Vicky Dávila,¡Atacar a los empresarios es destruir el empleo! Colombia en riesgo,1997,434,47,334000,21.73,1.44
2025-02-20,Vicky Dávila,¿Claudia López es confiable? Su cambio de postura no genera confianza,22351,1840,133,334000,8.23,5.91
2025-02-20,Vicky Dávila,Doña Carmen: La mujer verraca que conmovió mi corazón,70615,4533,92,334000,6.42,13.85
2025-02-17,Vicky Dávila,¿Un sistema tributario más simple para Colombia? Conoce el #101010,2529,546,25,334000,21.59,1.71
2025-02-13,Vicky Dávila,¡El Cambio en Colombia Comienza Ahora!,32170,5339,104,334000,16.6,16.3
2025-02-12,Vicky Dávila,Voy a Acabar con el Proceso de Paz | Mi Entrevista en CNN sobre el Futuro de Colombia,21755,762,934,334000,3.5,5.08
2025-02-11,Vicky Dávila,¡Las mujeres estamos listas para cambiar a Colombia!,5092,1045,85,334000,20.52,3.38
2025-02-11,Vicky Dávila,Es momento de actuar: ¡Vamos por un país mejor! 💪🔥,2072,528,81,334000,25.48,1.82
2025-02-11,Vicky Dávila,Colombia tiene cáncer! ¿Hay esperanza?,2682,438,20,334000,16.33,1.37
2025-02-09,Vicky Dávila,Mi experiencia en la política,1788,138,91,334000,7.72,0.69
